Date	Time	ElapsedMicrosecs	WeightFromScale [g]
2023-08-01	14:12:08	17774621	120.3790
2023-08-01	14:12:08	17779876	120.3790
2023-08-01	14:12:08	17784080	120.3790
2023-08-01	14:12:08	17789707	120.3790
2023-08-01	14:12:08	17796085	120.3790
2023-08-01	14:12:08	17800507	120.3790
2023-08-01	14:12:08	17804989	120.3790
2023-08-01	14:12:08	17809814	120.3790
2023-08-01	14:12:08	17817207	120.3790
2023-08-01	14:12:08	17824214	120.3790
2023-08-01	14:12:08	17829123	120.3790
2023-08-01	14:12:08	17833308	120.3790
2023-08-01	14:12:08	17838634	120.3790
2023-08-01	14:12:08	17842242	120.3790
2023-08-01	14:12:08	17848415	120.3790
2023-08-01	14:12:08	17853596	120.3790
2023-08-01	14:12:08	17858197	120.3790
2023-08-01	14:12:08	17862617	120.3790
2023-08-01	14:12:08	17866749	120.3790
2023-08-01	14:12:08	17872060	120.3790
2023-08-01	14:12:08	17876406	120.3790
2023-08-01	14:12:08	17880450	120.3790
2023-08-01	14:12:08	17884666	120.3790
2023-08-01	14:12:08	17888271	120.3790
2023-08-01	14:12:08	17896057	120.3790
2023-08-01	14:12:08	17899533	120.3790
2023-08-01	14:12:08	17909524	120.3790
2023-08-01	14:12:08	17918469	120.3790
2023-08-01	14:12:08	17929805	120.3790
2023-08-01	14:12:08	17934586	120.3790
2023-08-01	14:12:08	17939233	120.3790
2023-08-01	14:12:08	17944431	120.3790
2023-08-01	14:12:08	17950414	120.3790
2023-08-01	14:12:08	17956188	120.3790
2023-08-01	14:12:08	17962990	120.3790
2023-08-01	14:12:08	17967658	120.3790
2023-08-01	14:12:08	17970948	120.3790
2023-08-01	14:12:08	17989807	120.3790
2023-08-01	14:12:08	17997491	120.3790
2023-08-01	14:12:08	18001721	120.3790
2023-08-01	14:12:08	18006437	120.3790
2023-08-01	14:12:08	18011818	120.3790
2023-08-01	14:12:08	18016711	120.3790
2023-08-01	14:12:08	18020966	120.3790
2023-08-01	14:12:08	18026454	120.3790
2023-08-01	14:12:08	18031622	120.3790
2023-08-01	14:12:08	18037176	120.3790
2023-08-01	14:12:08	18041143	120.3790
2023-08-01	14:12:08	18045712	120.3790
2023-08-01	14:12:08	18051006	120.3790
2023-08-01	14:12:08	18055319	120.3790
2023-08-01	14:12:08	18059178	120.3790
2023-08-01	14:12:08	18063432	120.3790
2023-08-01	14:12:08	18068439	120.3790
2023-08-01	14:12:08	18075014	120.3790
2023-08-01	14:12:08	18086375	120.3790
2023-08-01	14:12:08	18090735	120.3790
2023-08-01	14:12:08	18095745	120.3790
2023-08-01	14:12:08	18101216	120.3790
2023-08-01	14:12:08	18105861	120.3790
2023-08-01	14:12:08	18110586	120.3790
2023-08-01	14:12:08	18115720	120.3790
